radio_m,ventana_min,min_dias,observados,azar,azar_std,exceso,n_repeticiones
200,10,2,1189,1110.1,21.25770448566825,78.90000000000009,10
200,10,3,995,924.5,18.586285266292453,70.5,10
200,10,4,617,571.0,16.739175606940744,46.0,10
200,10,5,276,237.4,8.42852300228219,38.599999999999994,10
300,10,2,1120,1042.0,28.576213884977836,78.0,10
300,10,3,1019,935.4,21.17167919651155,83.60000000000002,10
300,10,4,741,666.2,19.65604232799675,74.79999999999995,10
300,10,5,416,344.5,11.80889495253472,71.5,10
