min_dias,precision,n_evaluables,precision_std,recall,recall_std,f1,f1_std,verdaderos,aciertos,falsos,n_semillas,fecha,base_n_personas,base_n_paraderos,base_n_dias,base_radio_m,base_ventana_min,base_min_dias
2,0.06978065526987778,10,0.010831395468899167,0.007783333333333332,0.0009546668994413121,0.013993184387494334,0.00171665768744746,60000,467,6286,10,2026-09-07T00:44:44,60000,205,7,200,5,3
3,0.336442063754263,10,0.06037386338644118,0.005233333333333334,0.0009225568335398699,0.010301748877381358,0.0018010900506026846,60000,314,633,10,2026-09-07T00:44:44,60000,205,7,200,5,3
4,0.9400000000000001,10,0.12806248474865697,0.0006000000000000001,0.0003179797338056486,0.0011990231102551787,0.0006351555382770258,60000,36,3,10,2026-09-07T00:44:44,60000,205,7,200,5,3
5,1.0,2,0.0,3.3333333333333335e-05,6.666666666666667e-05,6.665555740709881e-05,0.0001333111148141976,60000,2,0,10,2026-09-07T00:44:44,60000,205,7,200,5,3
