n_paraderos,precision,n_evaluables,precision_std,recall,recall_std,f1,f1_std,verdaderos,aciertos,falsos,n_semillas,fecha,base_n_personas,base_n_paraderos,base_n_dias,base_radio_m,base_ventana_min,base_min_dias
50,0.2944882613999059,10,0.07744912850917114,0.004516666666666667,0.00095,0.008887898021574721,0.0018564635537622618,60000,271,696,10,2026-09-07T02:21:34,60000,205,7,200,5,3
100,0.35276680388932113,10,0.04864454835508045,0.005383333333333333,0.0005918426968188234,0.010601709639487282,0.0011592190503559785,60000,323,606,10,2026-09-07T02:21:34,60000,205,7,200,5,3
205,0.336442063754263,10,0.06037386338644118,0.005233333333333334,0.0009225568335398699,0.010301748877381358,0.0018010900506026846,60000,314,633,10,2026-09-07T02:21:34,60000,205,7,200,5,3
400,0.3658119141399592,10,0.03242228849524919,0.006033333333333333,0.000669991708074726,0.011867231949350436,0.001298092888091883,60000,362,635,10,2026-09-07T02:21:34,60000,205,7,200,5,3
1000,0.39963162897931404,10,0.04921880703172447,0.00585,0.0005890199015690764,0.011530182950585055,0.0011603754909264115,60000,351,532,10,2026-09-07T02:21:34,60000,205,7,200,5,3
