radio_m,ventana_min,min_dias,observados,azar,azar_std,exceso,n_repeticiones
200,10,2,1213,1110.5,17.68756625429287,102.5,10
200,10,3,1044,939.6,18.40760712314341,104.39999999999998,10
200,10,4,664,579.5,17.87316424139833,84.5,10
200,10,5,320,264.5,7.433034373659253,55.5,10
300,10,2,1106,1044.7,32.73850943460926,61.299999999999955,10
300,10,3,1022,958.5,29.169333211439717,63.5,10
300,10,4,782,700.9,24.631077930127216,81.10000000000002,10
300,10,5,471,367.1,13.772799279739758,103.89999999999998,10
