radio_m,precision,n_evaluables,precision_std,recall,recall_std,f1,f1_std,verdaderos,aciertos,falsos,n_semillas,fecha,base_n_personas,base_n_paraderos,base_n_dias,base_radio_m,base_ventana_min,base_min_dias
100,0.4462962962962963,9,0.31756964607742244,0.0002,0.00017950549357115015,0.00039976126748418335,0.0003587460619491758,60000,12,13,10,2026-09-07T03:13:45,60000,205,7,200,5,3
200,0.336442063754263,10,0.06037386338644118,0.005233333333333334,0.0009225568335398699,0.010301748877381358,0.0018010900506026846,60000,314,633,10,2026-09-07T03:13:45,60000,205,7,200,5,3
300,0.18980937006437476,10,0.021428563967791837,0.014233333333333334,0.001202312586458095,0.02646686594120464,0.002222851341061722,60000,854,3678,10,2026-09-07T03:13:45,60000,205,7,200,5,3
500,0.12388373486426008,10,0.01084400327466076,0.013833333333333331,0.001683250823060346,0.024871215616007577,0.002886986884839026,60000,830,5870,10,2026-09-07T03:13:45,60000,205,7,200,5,3
600,0.10906773269332311,10,0.018998348174625694,0.01075,0.002141196446434148,0.01956729353795312,0.0038435792226768073,60000,645,5249,10,2026-09-07T03:13:45,60000,205,7,200,5,3
1000,0.026284790578635697,10,0.007974690939665335,0.002183333333333333,0.0006474308199851677,0.004031222749875576,0.001196843981447798,60000,131,4867,10,2026-09-07T03:13:45,60000,205,7,200,5,3
