variacion_diaria_min,precision,n_evaluables,precision_std,recall,recall_std,f1,f1_std,verdaderos,aciertos,falsos,n_semillas,fecha,base_n_personas,base_n_paraderos,base_n_dias,base_radio_m,base_ventana_min,base_min_dias
0.0,0.29849860025050534,10,0.059895981903406365,0.0043166666666666674,0.0007205322107072431,0.008507583124343316,0.001420754999060445,60000,259,633,10,2026-09-07T01:26:19,60000,205,7,200,5,3
5.0,0.33162373575774456,10,0.06862756013819114,0.0049,0.0010934146311237817,0.009654333677246895,0.0021462389395777697,60000,294,604,10,2026-09-07T01:26:19,60000,205,7,200,5,3
9.7,0.336442063754263,10,0.06037386338644118,0.005233333333333334,0.0009225568335398699,0.010301748877381358,0.0018010900506026846,60000,314,633,10,2026-09-07T01:26:19,60000,205,7,200,5,3
20.0,0.3845974558640025,10,0.05333276851655226,0.006216666666666667,0.000882074574826616,0.012231956815398317,0.0017210371146174166,60000,373,605,10,2026-09-07T01:26:19,60000,205,7,200,5,3
40.0,0.35755850776629483,10,0.035473819076302364,0.0059499999999999996,0.0008401388774085706,0.011699819443036458,0.00162515481945922,60000,357,651,10,2026-09-07T01:26:19,60000,205,7,200,5,3
