permanencia_min,precision,n_evaluables,precision_std,recall,recall_std,f1,f1_std,verdaderos,aciertos,falsos,n_semillas,fecha,base_n_personas,base_n_paraderos,base_n_dias,base_radio_m,base_ventana_min,base_min_dias
1,0.016667428432134316,10,0.022388015005649915,0.00013333333333333334,0.00016329931618554522,0.00026440923996662845,0.000324012582172366,60000,8,490,10,2026-09-07T01:07:45,60000,205,7,200,5,3
2,0.09848257819565104,10,0.0423585203209711,0.0009666666666666667,0.0005467073155618909,0.0019136231616066178,0.0010792380800994095,60000,58,507,10,2026-09-07T01:07:45,60000,205,7,200,5,3
5,0.3767725363213622,10,0.054466126504973046,0.005350000000000001,0.0009263128821060168,0.010546285822667003,0.0018076379000274375,60000,321,538,10,2026-09-07T01:07:45,60000,205,7,200,5,3
10,0.34418768239345093,10,0.057367782272926056,0.005233333333333334,0.0009225568335398699,0.010306031735375695,0.0018018222370892773,60000,314,608,10,2026-09-07T01:07:45,60000,205,7,200,5,3
15,0.336442063754263,10,0.06037386338644118,0.005233333333333334,0.0009225568335398699,0.010301748877381358,0.0018010900506026846,60000,314,633,10,2026-09-07T01:07:45,60000,205,7,200,5,3
30,0.3395617698101948,10,0.055883416541790465,0.00525,0.0009753916592266353,0.010335780384905752,0.0019029792489302544,60000,315,622,10,2026-09-07T01:07:45,60000,205,7,200,5,3
