n_personas,precision,n_evaluables,precision_std,recall,recall_std,f1,f1_std,verdaderos,aciertos,falsos,n_semillas,fecha,base_n_personas,base_n_paraderos,base_n_dias,base_radio_m,base_ventana_min,base_min_dias
10000,0.6750974025974026,10,0.1726692204765173,0.005200000000000001,0.0023579652245103193,0.010309855249934266,0.00465700064007206,10000,52,25,10,2026-09-07T03:29:03,60000,205,7,200,5,3
30000,0.4925666287735253,10,0.08024847112020571,0.0057,0.0015380362660079104,0.011266723575311305,0.003021679323301306,30000,171,173,10,2026-09-07T03:29:03,60000,205,7,200,5,3
60000,0.336442063754263,10,0.06037386338644118,0.005233333333333334,0.0009225568335398699,0.010301748877381358,0.0018010900506026846,60000,314,633,10,2026-09-07T03:29:03,60000,205,7,200,5,3
150000,0.1765009856355013,10,0.023220495837363873,0.004526666666666667,0.0004506291897632317,0.008820991642060615,0.0008613202058467168,150000,679,3242,10,2026-09-07T03:29:03,60000,205,7,200,5,3
