cuartil,personas,tasa_enlace,actividad_mediana,ic_bajo,ic_alto
1,5597,0.010541361443630517,228.0,0.008181383609340457,0.013572775622729238
2,5580,0.047491039426523295,527.0,0.04221501889174958,0.05338969883520026
3,5580,0.10627240143369175,1148.0,0.09845518861920564,0.11463137171588693
4,5586,0.14124597207303974,2610.0,0.13235902861122634,0.15062602055367313
